LotArea,TotalBsmtSF,GarageArea,AboveMedianPrice
9600,1242,528,1
4571,624,513,0
53227,1364,529,1
5100,588,228,0
7015,709,352,0
8004,832,552,1
7200,560,576,0
8281,864,360,0
11988,715,240,1
8430,1040,0,0
3072,1375,398,1
10628,1277,526,1
9480,728,312,0
11428,1626,866,1
9291,832,506,1
6820,1488,528,1
11952,808,534,1
3675,547,525,0
14977,1976,908,1
5330,1494,499,1
8480,970,624,0
13125,1478,508,1
13693,2153,694,1
10637,1705,826,1
5925,907,672,0
16033,1833,772,1
11846,1792,874,1
2500,910,164,0
4500,1216,402,1
7758,999,264,0
9600,1113,264,0
10289,1073,515,0
12243,1484,487,1
10800,954,520,0
1526,630,286,0
2665,264,336,0
9490,806,240,0
15578,728,429,1
7931,1269,308,0
5784,190,273,0
7879,720,0,0
12692,3200,546,1
9120,1026,240,1
7800,864,288,0
7535,912,297,0
1890,672,264,0
9803,866,603,1
9170,1214,461,0
15602,1501,484,1
2308,855,440,0
7596,960,400,0
9554,777,471,1
7862,1218,676,1
9600,689,360,0
9600,1041,270,0
14559,1008,288,1
6792,1368,474,1
9100,864,624,0
9187,1084,484,0
10594,768,200,0
12220,2006,900,1
10448,689,583,0
10208,1264,889,1
9531,794,546,1
10918,1276,282,1
10800,0,0,0
11988,1244,336,0
5000,1004,420,0
40094,3138,884,1
11787,1379,834,1
7500,1257,453,1
13300,928,252,0
14948,1452,858,1
9098,528,0,0
32668,2035,484,1
10200,1461,600,1
6155,611,502,0
7200,0,392,0
5000,0,0,0
9056,707,403,1
7000,1117,0,0
8924,880,527,1
12735,864,576,0
11553,1051,336,0
11423,1581,670,1
14601,1838,765,1
11000,969,648,1
10140,1650,583,1
4058,723,367,0
17104,654,426,1
13837,1204,786,1
8737,1065,440,1
7244,768,624,0
8235,825,720,0
9375,912,615,1
4043,1069,440,0
6000,928,288,0
11146,1709,908,1
8777,0,520,0
10625,998,871,1
6380,993,280,0
14850,1092,299,0
11040,637,570,0
21872,729,406,1
3196,1374,420,1
11341,1392,528,0
10010,1389,418,1
13907,996,0,0
21780,1163,396,1
13346,1095,590,1
6858,806,216,0
11198,1122,656,1
10171,1517,532,1
12327,1496,612,1
7032,943,600,0
13101,1728,576,0
7332,864,288,0
13159,846,650,1
9967,384,400,1
10500,372,288,0
8480,832,336,0
6292,861,216,0
11777,1164,564,1
3604,689,540,0
12150,1050,352,0
14585,1144,572,1
12704,2042,1390,1
11841,816,0,0
13500,1237,880,1
6120,884,240,0
11443,1868,880,1
10267,816,275,0
8740,840,528,0
25095,1437,452,0
9100,742,308,0
8320,770,520,1
13478,1722,842,1
6600,816,816,0
4435,848,420,0
7990,924,280,0
11302,1814,758,1
3600,684,216,0
3922,1258,648,1
12984,1430,621,1
1950,716,452,0
10927,1058,736,1
9000,780,544,0
10041,908,506,1
3182,600,480,0
12803,1494,530,1
13600,768,486,1
12464,1040,576,0
7800,896,230,1
12168,965,380,1
7943,1029,261,0
11050,1440,736,1
10395,1032,564,0
11885,1299,531,1
8402,1120,0,0
1491,630,0,0
8800,936,480,0
7861,783,393,1
7227,832,528,0
11694,1822,774,1
12244,1482,749,1
8248,864,0,0
10800,1522,624,1
7064,980,484,0
2117,756,440,1
10400,732,484,1
10000,1116,440,0
12342,978,286,0
9600,1156,364,0
11606,1040,504,0
9020,1248,520,1
9000,636,240,0
4590,1554,627,1
11900,1386,544,0
9250,1056,260,0
6979,1056,576,0
10896,1440,0,1
6120,264,0,0
6000,811,256,0
8777,796,0,0
3982,1520,648,1
12677,1518,588,1
7050,1057,650,1
13860,1952,538,1
10793,780,462,0
9187,1766,478,1
10530,981,576,0
7200,0,420,0
10452,1094,495,0
7700,756,442,0
1936,630,0,0
8125,813,562,1
9084,755,296,0
8750,880,512,1
10320,756,216,0
10437,2109,839,1
1680,525,264,0
10007,1053,312,0
7200,776,270,0
17503,912,330,0
9937,1486,480,1
12384,793,550,1
46589,1629,711,1
13560,1392,576,0
10012,1138,588,0
20896,2077,1134,1
11194,1406,504,1
18450,1021,596,0
8125,1408,575,1
14175,1188,576,1
11600,700,252,0
8633,738,540,1
6629,672,300,0
11250,1208,546,1
14442,1477,416,1
9200,1136,384,0
2289,855,440,0
9600,1095,779,0
9022,768,240,0
11844,2046,834,1
9945,988,572,0
8012,923,264,0
4500,793,281,0
2887,1291,431,1
11248,1626,702,1
16770,1195,486,1
5062,1190,577,1
10207,874,578,1
5105,551,480,0
8089,1419,567,1
7577,1362,460,1
4426,848,420,0
21535,2444,832,1
26178,1210,628,1
5400,1073,326,0
6120,927,576,0
13811,1112,551,1
6000,616,205,0
6420,980,308,0
8450,894,336,0
4282,1391,530,1
14331,1800,765,1
9600,1164,528,0
12438,1234,666,1
7630,360,672,0
8400,1473,606,1
5600,0,0,0
115149,1643,739,1
6240,1324,550,1
9018,728,400,1
7162,876,408,0
4130,270,0,0
8712,859,384,0
4671,1228,472,1
9873,960,576,0
13517,725,475,0
10140,1064,478,1
10800,718,704,0
10000,1176,439,0
10542,1311,983,1
9920,971,300,0
6563,1742,564,1
4426,848,420,0
8120,864,463,0
8172,941,548,0
13286,1698,768,1
6960,864,660,0
21695,880,540,1
7314,1232,632,1
11475,1584,888,0
6240,780,539,0
5389,1595,608,1
9590,868,438,1
11404,1153,541,1
10000,864,264,0
8978,948,300,0
10800,880,320,0
8544,0,400,0
10463,893,800,1
10800,1200,0,1
9313,864,572,1
9600,264,360,0
6768,912,288,0
8450,1349,539,1
12886,520,480,1
5395,1337,462,1
8963,1142,831,1
8795,952,554,1
11700,1240,864,1
10593,1720,527,1
8405,0,240,0
8800,576,0,0
7750,660,400,0
9236,1479,576,1
10240,1030,878,1
7930,1026,440,0
3230,729,440,1
10769,866,578,1
11616,672,440,0
2280,744,440,1
12257,1318,752,1
9100,864,300,0
6911,1145,440,0
8640,756,614,1
9430,1252,856,1
9549,1494,481,1
14587,1498,592,1
10421,980,496,1
12508,983,423,0
9100,1860,484,1
53504,1650,841,1
7252,858,576,0
8877,836,396,0
7819,1029,672,0
10150,912,275,0
14226,1935,895,1
4500,1204,412,0
11210,1614,865,1
13350,864,440,0
8400,0,630,0
10530,975,504,0
7875,1237,402,1
7153,761,484,1
16285,1413,605,1
9101,1097,602,1
6300,742,0,0
9790,1372,457,0
10800,686,416,0
10142,956,618,1
6000,901,281,0
12205,832,444,1
3182,1145,397,0
11333,1029,539,0
9920,1117,455,1
9158,1496,474,1
10832,712,409,1
8400,650,476,1
8197,660,528,0
7677,773,240,0
13518,1926,820,1
7200,731,240,1
12798,616,603,1
4800,1196,440,0
8199,728,410,1
13891,1734,1020,1
9000,936,286,0
12274,1417,554,1
9750,980,384,0
21384,1324,528,1
13400,1024,484,0
8100,849,360,0
10140,1040,484,1
4438,848,420,0
8712,540,504,0
9750,1442,301,0
8248,686,280,0
12137,1649,598,1
11425,1008,275,0
13265,1568,857,1
8816,1010,440,0
6371,1358,484,1
7226,798,595,1
6000,936,576,0
12394,847,433,1
9900,778,240,0
11216,1489,776,1
14803,2078,1220,1
6130,784,0,0
8529,1454,527,1
28698,1013,538,1
2544,600,480,0
11900,1392,458,1
3180,600,480,0
9548,941,613,1
10004,1516,472,1
7875,1144,456,0
9600,1067,436,0
8100,1559,812,0
1680,483,264,0
9525,1099,352,0
11767,768,240,0
12155,672,400,0
10440,650,686,0
9020,1127,490,1
8000,1800,0,0
12665,876,720,0
16647,1390,611,1
9317,740,425,1
15523,864,338,0
45600,907,360,1
9600,528,512,1
4435,848,420,0
3196,1273,400,1
7128,918,240,1
12095,1127,645,0
17920,1763,454,1
6897,1040,260,0
10970,940,576,0
8125,702,343,1
10400,1090,479,0
11029,1054,619,1
7642,912,216,1
11625,1039,504,0
9672,1040,480,0
7931,1148,672,0
8640,1372,529,1
8750,1002,902,0
10656,1638,870,1
6970,1040,544,0
14762,0,672,1
9938,1050,574,1
6600,894,308,0
8750,804,523,1
8892,105,414,0
12144,832,288,0
5720,676,200,0
9000,1184,550,1
25286,1064,648,0
8834,1462,738,1
11782,1109,576,0
7000,864,336,0
7024,1090,450,0
13758,1156,400,1
9636,808,389,1
6204,795,440,0
7150,892,288,0
5119,1698,506,1
8393,1626,588,0
16466,816,300,0
15865,2217,621,1
12160,1505,505,0
8064,672,576,0
11184,918,440,1
8414,1059,264,0
13284,1383,354,1
7018,0,400,0
7056,780,483,0
8765,951,327,0
7018,0,528,0
12919,2330,820,1
6993,912,288,0
7340,858,684,0
8712,992,756,0
7875,783,393,1
14859,1670,690,1
6173,876,288,0
9920,1056,280,0
13501,1623,865,1
11500,1017,180,1
8885,864,484,0
12589,742,390,1
11600,1105,480,0
9286,1268,252,0
6120,768,450,0
6270,1001,871,0
3000,612,528,1
2001,546,286,0
9000,480,308,0
17140,1134,284,0
13125,1104,833,1
11029,1184,601,1
8462,928,471,1
8777,1272,0,0
10237,1316,397,1
8012,1604,533,1
10240,1686,612,1
15611,1126,540,1
11999,1181,656,1
9900,832,486,1
11838,1753,522,1
13006,964,642,1
8925,1466,610,1
9100,925,429,0
11670,1905,788,1
8487,1500,570,1
27650,585,505,1
5825,600,528,0
10083,1176,555,1
9675,1113,689,1
8760,1391,868,1
24090,1032,349,1
12640,1728,574,0
8755,992,390,1
7711,1440,0,0
25000,1632,576,0
14375,819,525,0
8820,1088,456,0
8163,1144,796,0
14536,1616,808,1
14006,936,474,1
9360,1161,676,1
7200,864,720,0
7800,828,300,0
7200,768,396,0
11075,784,530,1
9400,945,0,0
7136,979,492,0
1300,561,462,0
7420,1057,576,0
8450,1337,531,1
2572,696,484,0
7207,858,0,0
12227,1330,619,1
2308,804,440,0
11923,1800,702,1
11316,817,510,1
10237,783,393,1
9600,728,256,0
7390,1098,260,0
5925,600,0,0
10382,588,264,0
10800,720,0,0
2268,764,474,1
7892,918,264,0
11639,1428,480,1
11414,728,532,1
2651,673,490,1
5900,440,0,0
4274,1241,569,1
9450,894,400,0
8816,1121,480,0
12122,944,588,1
12203,1225,676,1
3182,1266,388,0
11250,1128,779,1
10125,0,539,0
10880,1164,240,0
5310,485,255,0
10159,1930,606,1
12046,848,551,1
8125,770,614,1
9452,1396,870,1
17671,916,424,1
9760,822,440,1
8846,750,564,1
12456,1700,786,1
4712,747,305,0
10659,1050,368,0
11717,1442,615,1
9786,1007,210,0
6762,1187,632,1
10206,0,528,0
5400,691,216,0
11957,1574,824,1
11500,1680,528,0
3182,1346,457,1
8385,985,328,0
12155,1657,484,1
2217,546,286,0
12118,1710,550,1
6000,1008,0,0
21286,720,312,0
9825,0,0,0
10592,602,180,1
7200,1022,280,0
11664,1082,240,0
8400,810,528,1
11883,1504,478,1
5814,1220,565,1
10784,384,402,0
3013,1362,440,1
7024,1132,451,1
7406,1199,632,1
9439,912,160,0
3182,1346,437,1
15498,1565,665,1
7700,882,461,0
9300,1268,461,1
9520,1638,800,1
9492,768,240,0
1680,672,264,0
7082,686,0,0
15863,824,672,1
14541,1338,796,1
8125,1654,900,1
6305,920,240,0
11500,0,290,0
12898,1620,912,1
9240,1055,905,1
1533,546,0,0
1477,630,286,0
13125,1134,484,0
9130,800,484,1
5381,1306,624,1
11839,1475,514,1
9600,2524,542,1
13680,0,452,0
16056,1992,716,1
9245,990,672,0
21750,0,336,0
11100,0,308,0
8993,1302,436,1
11175,1316,440,1
9500,816,540,1
8562,1216,364,0
11367,1065,586,1
11361,1193,478,1
7052,1364,484,1
29959,973,467,1
11308,1104,836,1
11275,854,432,1
4920,1338,582,1
18000,894,1248,0
13600,662,560,0
6000,1103,440,0
11000,1154,480,0
14000,1306,533,1
7837,799,380,1
9760,780,442,1
3964,942,576,0
9600,845,576,0
10152,1048,286,0
11700,727,441,0
7585,810,280,0
7950,690,440,0
8556,1240,826,1
13125,800,240,1
10800,796,566,1
15870,1096,299,0
4435,848,420,0
8775,990,299,0
11040,1258,528,0
7500,1040,308,0
8749,1459,527,1
8800,1251,461,0
13031,691,409,1
9069,936,564,0
1974,546,286,0
10574,1082,1043,1
2522,970,380,0
3316,1247,550,1
8544,0,400,0
2160,600,462,0
8400,1181,576,0
9230,864,884,0
5868,936,308,0
9317,1314,440,1
6882,684,0,0
3696,1074,461,1
6000,672,240,0
11880,1271,478,0
8400,290,246,0
9758,950,280,0
7000,1010,254,0
8910,655,539,0
2016,630,440,0
12256,1463,712,1
10357,910,719,1
23257,868,422,1
8063,924,463,1
11362,1836,862,1
8000,773,431,1
10480,803,483,1
7100,816,308,0
8923,1008,240,0
5400,833,326,0
12085,1734,928,1
7750,408,527,1
9764,894,450,0
13825,533,300,0
7560,1040,286,0
8263,1012,308,0
10084,1552,782,1
8926,672,288,0
9405,698,0,0
9125,384,392,1
10434,1005,672,0
3684,1373,660,1
14572,1530,630,1
11796,847,434,1
7200,936,672,0
7804,1122,576,0
10712,974,0,0
9900,1008,205,0
9828,1128,466,1
8773,916,460,1
6180,960,180,0
9600,1032,288,0
6342,780,0,0
9819,1567,714,1
8731,915,495,0
7350,952,840,0
10304,780,484,1
9965,1466,1052,1
9000,1006,0,0
12180,672,280,0
6240,1042,225,0
11200,1298,403,1
12000,704,234,1
5700,572,288,0
9000,650,324,0
8280,932,306,0
17755,1466,528,0
14115,1073,470,1
5890,816,432,0
13700,864,492,1
10768,1437,528,1
9350,1219,502,1
5001,1314,626,1
11932,1580,830,1
9120,901,540,1
2280,855,440,0
14778,1296,924,1
8724,894,450,0
12900,1198,400,0
16157,1360,588,1
9541,1502,644,1
10475,1694,776,1
10852,959,472,1
13728,1127,540,1
35760,1930,807,1
9880,1096,358,1
9120,1261,433,0
4017,625,625,1
18030,1598,0,1
16560,952,360,1
10678,1683,541,1
6951,876,264,0
3950,818,210,0
7681,731,186,0
8335,0,0,0
11170,1216,693,1
5587,1600,482,1
15623,2396,813,1
10800,1120,720,0
35133,1572,995,1
9738,784,392,0
10615,978,420,0
12461,1624,757,1
8935,831,493,1
7500,994,442,1
32463,1249,1356,1
2645,776,492,1
9600,702,250,0
4500,1224,402,1
9364,663,299,0
8029,728,400,1
14054,879,660,1
8850,815,225,0
9100,1212,573,1
11235,1051,459,0
9353,864,280,0
10400,866,546,1
6000,884,216,0
9750,1630,451,1
10140,1056,495,0
14684,2158,701,1
8900,1056,384,0
9135,1682,544,1
7763,931,506,0
10182,1660,500,1
11218,1055,462,1
12134,559,492,1
9340,672,234,0
10246,648,364,0
10205,925,300,0
7094,894,384,0
8930,0,539,0
8640,1300,552,1
6240,0,0,0
1680,672,0,0
7800,912,288,0
8250,952,322,0
10496,1040,315,0
10680,2136,528,0
15384,788,388,1
10482,588,264,0
14598,894,668,1
8872,912,576,0
8769,1702,1052,1
7910,1075,404,0
18890,1361,600,1
7728,1106,540,0
9842,0,462,0
12160,1188,531,0
8525,940,0,0
13132,747,180,0
2628,764,474,1
12393,847,434,1
13072,1141,484,0
9037,1476,472,1
8158,884,543,1
9849,1689,954,1
10625,1053,528,1
13891,2076,850,1
11435,792,400,1
12090,585,477,1
8125,756,615,1
12328,1012,888,1
9600,735,396,0
7200,876,276,0
11160,2110,522,1
3136,1405,478,1
9858,864,288,0
17542,1192,518,1
6931,746,397,1
6240,884,560,0
14303,1986,691,1
4060,864,0,0
9587,856,400,1
9750,1054,460,0
24682,841,502,1
9600,1050,338,0
11250,1104,304,0
13515,764,520,1
4060,1405,511,1
3735,691,506,1
10120,925,308,0
13214,2002,746,1
14100,728,1014,1
11344,874,315,0
23595,1332,586,1
9156,1489,462,1
13526,935,288,0
11512,1019,312,1
5362,661,552,0
11345,928,400,0
12936,723,497,0
17871,1680,480,1
9473,1128,577,1
7500,698,528,0
9808,1573,544,1
8049,1309,484,1
8800,1040,484,0
9400,912,0,0
9638,804,336,1
6000,780,280,0
9790,1328,528,0
36500,1624,390,1
5664,1501,499,1
11065,1085,753,1
14112,1152,484,1
1680,630,264,0
6600,994,432,0
10140,832,528,0
8172,864,572,0
8400,1052,288,0
8700,1120,525,0
3675,547,525,0
63887,6110,1418,0
7500,1246,305,0
10762,978,490,1
7500,771,213,1
10120,1165,844,1
8688,1616,834,1
3363,976,380,0
13173,1652,840,1
6955,1368,474,1
8072,990,480,0
12000,924,528,0
7153,1278,496,1
17500,1902,567,1
8814,1274,508,1
9572,1453,750,1
14774,1393,779,1
8190,948,280,0
11075,952,576,1
10226,1622,860,1
4230,1352,466,1
14781,1753,748,1
10215,864,248,0
8400,1478,442,0
6627,0,287,0
10186,750,564,1
5330,420,0,0
9986,1795,895,0
3636,796,0,0
4270,544,0,0
6600,816,264,0
10440,1510,520,1
9084,935,462,1
10000,1588,825,1
10780,911,576,0
8877,816,288,0
7200,803,297,0
2368,765,440,0
9650,1350,630,1
9246,1656,506,0
4118,693,0,0
13450,916,492,1
9560,864,288,0
8294,858,480,0
13695,1114,576,0
9375,1284,647,1
7558,896,342,1
11103,728,440,0
6000,960,308,0
20781,1568,508,1
15306,1732,712,1
16196,1482,514,1
5250,684,0,0
11643,1248,968,1
9247,858,490,1
6000,698,624,0
14720,2033,666,1
10316,992,839,1
10192,570,487,1
9477,864,264,0
12537,1078,500,0
2117,756,440,1
16737,1980,770,1
9842,612,621,1
16158,1530,430,1
12513,715,368,0
8499,616,432,0
3180,600,480,0
7500,814,663,1
9179,873,588,1
2665,757,336,0
4435,848,420,0
10635,1657,502,1
5400,840,338,0
9600,992,377,1
9750,1108,583,1
11400,2633,804,1
10625,1026,936,1
10991,1571,722,1
6292,768,160,0
10998,984,660,0
1953,483,264,0
9735,384,400,1
8212,864,200,0
12925,1205,550,1
7200,596,576,0
25339,816,576,0
9060,560,280,0
5436,796,240,0
16692,1392,564,1
8520,714,216,0
14892,1746,758,1
6000,735,440,0
9100,1525,541,1
8944,1584,792,0
7838,864,288,0
10800,482,672,0
4045,1356,648,1
12665,1094,642,1
57200,747,572,0
6120,939,180,0
7200,1208,240,0
6171,976,216,0
6000,862,208,0
7415,839,398,1
6762,1286,662,1
15256,1485,754,1
10410,672,936,0
3842,1594,482,1
8445,768,396,0
8780,833,0,0
7740,622,528,0
20544,791,542,1
12420,944,622,1
9600,856,271,0
7200,0,420,0
10994,1844,620,1
13053,833,370,1
3635,1386,660,1
11340,777,560,0
16545,1284,1069,1
9204,1144,336,0
16381,1844,540,1
11700,708,776,1
4043,1069,440,0
4435,848,420,0
19690,697,432,1
9503,1024,484,0
10721,1252,528,0
10944,1223,525,1
10930,913,288,0
7200,788,240,0
12546,1440,467,1
21930,732,372,1
4928,958,440,0
10800,656,216,0
10261,936,451,1
17400,1126,484,0
8400,1319,462,1
9000,864,528,0
12444,1932,774,1
7407,912,923,0
11584,539,550,1
11526,588,672,1
4426,848,420,0
11003,1017,812,1
8854,952,192,0
8500,1422,626,1
8400,814,240,0
26142,1188,312,0
10000,1220,556,1
11767,560,384,0
1533,630,0,0
9000,896,0,0
9262,1573,840,1
3675,547,525,0
17217,1140,0,0
7500,1221,400,1
7917,953,460,1
13175,1542,500,1
9042,1152,252,1
9717,1078,240,0
9937,1256,276,0
